36	Cremated remains of Las Vegas mass saldırgan to be kept in safe deposit box, brother says	a	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
47	Florida saldırgan a sorunlu yalnız yaşayan kimse with beyaz süprematist ties	a	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
68	Vernon Hills teen accused of wearing beyaz süprematist shirt pleads not guilty to weapons charges	a	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
70	Griffith student charged with accidentally bringing loaded gun inside high okul	a	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
98	Exclusive: Group chat messages show okul saldırgan kafayı takmış with race, şiddet and silahlar	a	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
129	Lawyers call Birleşik Devletler gun charges for Meksikalı adam 'vindictive'	a	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
160	Parkland okul Shooting Şüpheli Nikolas Cruz Spotted Giggling, Laughing While in Jail, Observation Report Diyor	a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
162	Florida saldırgan gösterdi şiddet at home, polis reports reveal	a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
228	Florida okul shooting şüpheli was investigated by state after self-harming	a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
231	New Vermont yasa used to keep okul shooting plot şüpheli from getting gun	a	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
239	Checking Facts and Falsehoods About tabanca Şiddet and zihinsel hastalık After Parkland Shooting	a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
264	adam accused of shooting at siyah teenager who knocked on his door to ask for directions	a	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
310	Family that took in Florida shooting şüpheli call him a 'monster' and say they vardı no clue what he was planning	a	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
